,Family,Species,tags_count,tersi_count
852,Erebidae,Simplicia discosticta,5,23
853,Erebidae,Simplicia rhyal,3,12
854,Erebidae,Simplicia taiwana,2,0
855,Erebidae,Sinarella formosensis,3,0
856,Erebidae,Sinarella nigrisigna,5,7
857,Erebidae,Sinarella orientalensis,2,0
858,Erebidae,Sinarella paracristulalis,0,0
859,Erebidae,Sinarella sp. 1,0,0
860,Erebidae,Sinarella sp. 2,0,0
861,Erebidae,Sinarella subaegrota,4,0
862,Erebidae,Sinarella takasago,3,1
863,Erebidae,Sinarella yuanyuan,6,0
864,Noctuidae,Sineugraphe elkalandozta,4,4
865,Sphingidae,Smerinthulus perversa flavomaculatus,4,7
866,Lasiocampidae,Somadasys catocoides,0,12
867,Erebidae,Somena scintillans,0,299
868,Notodontidae,Somera viridifusca viridifusca,4,27
869,Erebidae,Sphrageidus virguncula,0,1
870,Noctuidae,Sphragifera biplagiata,0,6
871,Noctuidae,Sphragifera sigillata taimacula,1,6
872,Erebidae,Spilarctia sp.,0,0
873,Erebidae,Spilarctia wilemani,0,336
874,Erebidae,Spilosoma fumida,0,43
875,Erebidae,Spirama retorta,0,0
876,Noctuidae,Spodoptera litura,4,155
877,Noctuidae,Spodoptera mauritia acronyctoides,0,0
878,Noctuidae,Spodoptera sp.,0,0
879,Notodontidae,Stauropus sikkimensis lushanus,1,22
880,Notodontidae,Stauropus teikichiana teikichiana,2,63
881,Erebidae,Stenhypena costalis,4,3
882,Noctuidae,Stenoloba assimilis taiwana,1,0
883,Noctuidae,Stenoloba glauca,0,0
884,Noctuidae,Stenoloba manleyi formosana,2,15
885,Noctuidae,Stenoloba nigrabasalis,0,4
886,Noctuidae,Stenoloba nora,1,0
887,Noctuidae,Stenoloba pulla,2,4
888,Erebidae,Stictane sp.,0,0
889,Erebidae,Stigmatophora karenkonis,3,5
890,Thyrididae,Striglina sp.,0,0
891,Noctuidae,Strotihypera flavipuncta,3,0
892,Pyralidae,Sybrida discinota,0,0
893,Pyralidae,Sybrida inordinata,0,0
894,Geometridae,Syncosmia patinata,0,0
895,Geometridae,Synegia eumeleata,1,8
896,Notodontidae,Syntypistis comatus,1,154
897,Notodontidae,Syntypistis cyanea cyanea,1,186
898,Notodontidae,Syntypistis lineata,4,1
899,Notodontidae,Syntypistis nigribasalis nigribasalis,0,0
900,Notodontidae,Syntypistis perdix perdix,1,46
901,Notodontidae,Syntypistis pryeri,2,13
902,Notodontidae,Syntypistis subgeneris subgeneris,2,35
903,Notodontidae,Syntypistis umbrosa,3,60
904,Notodontidae,Syntypistis viridipicta,1,94
905,Erebidae,Sypnoides chinensis,1,20
906,Erebidae,Sypnoides hampsoni,1,3
907,Erebidae,Sypnoides pannosa,2,7
908,Erebidae,Sypnoides simplex,0,22
909,Lasiocampidae,Syrastrena sumatrana obliquilinea,2,10
910,Erebidae,Taicallimorpha albipuncta,3,36
911,Noctuidae,Taiwanacosmia poecila,0,6
912,Lasiocampidae,Takanea excisa excisa,1,8
913,Crambidae,Talanga sexpunctalis,1,83
914,Geometridae,Tanaoctenia haliaria,2,227
915,Geometridae,Tanaorhinus formosana,1,33
916,Geometridae,Tanaorhinus kina flavinfra,1,18
917,Geometridae,Tanaorhinus viridiluteata,3,72
918,Notodontidae,Tarsolepis japonica,1,114
919,Geometridae,Telenomeuta punctimarginaria,3,4
920,Pyralidae,Teliphasa albifusa,0,9
921,Pyralidae,Teliphasa amica,0,0
922,Pyralidae,Teliphasa nubilosa,1,223
923,Pyralidae,Teliphasa sp.,0,0
924,Crambidae,Teliphasa sp.,0,0
925,Crambidae,Tenerobotys subfumalis,0,0
926,Tortricidae,Terthreutis sp.,0,0
927,Erebidae,Teulisna tumida,0,73
928,Sphingidae,Theretra tibetiana,3,41
929,Erebidae,Thyas coronata,2,73
930,Erebidae,Thyas juno,2,94
931,Geometridae,Timandra stueningi,2,176
932,Geometridae,Timandra synthaca,2,6
933,Noctuidae,Tiracola aureata,1,273
934,Lecithoceridae,Tisis mesozosta,1,36
935,Lasiocampidae,Trabala vishnou guttata,3,199
936,Noctuidae,Trachea auriplena auriplena,2,102
937,Noctuidae,Trachea delica,3,6
938,Geometridae,Traminda aventiaria,0,321
939,Geometridae,Trichopterigia adorabilis,1,7
940,Geometridae,Trichopterigia sanguinipunctata sanguinipunctata,0,8
941,Noctuidae,Trichosea diffusa,2,41
942,Drepanidae,Tridrepana arikana,1,86
943,Drepanidae,Tridrepana unispina,1,94
944,Geometridae,Tristeirometa decussata moltrechti,1,28
945,Geometridae,Tristrophis rectifascia rectifascia,1,7
946,Bombycidae,Triuncina brunnea,2,159
947,Nolidae,Tyana falcata,3,99
948,Nolidae,Tympanistes rubidorsalis,0,20
949,Crambidae,Tyspanodes hypsalis,0,80
950,Crambidae,Tyspanodes striata,0,55
951,Notodontidae,Uropyia meticulodina,3,3
952,Erebidae,Utetheisa pulchelloides vaga,2,3
953,Erebidae,Vamuna alboluteora,3,211
954,Nolidae,Westermannia elliptica elliptica,2,160
955,Geometridae,Xandrames dholaria,3,50
956,Geometridae,Xanthorhoe cybele,3,7
957,Geometridae,Xanthorhoe mediofascia,0,19
958,Geometridae,Xanthorhoe saturata,0,96
959,Geometridae,Xenortholitha corioidea,2,8
960,Noctuidae,Xenotrachea irrorata,6,11
961,Geometridae,Xerodes contiguaria,1,43
962,Noctuidae,Xestia csoevarii,1,12
963,Noctuidae,Xestia flavilinea,2,17
964,Noctuidae,Xestia supravidua,2,2
965,Noctuidae,Xestia tamsi,1,75
966,Noctuidae,Xylostola indistincta,1,84
967,Geometridae,Yashmakia suffusa,1,46
968,Erebidae,Zanclognatha nigrisigna,2,18
969,Erebidae,Zanclognatha sp.,0,0
970,Cossidae,Zeuzera multistrigata,0,41
