,file,bboxes
0,../data/data_raw/CARS/unsorted/CARS0717.jpg,"1591.422891998291,288.06619415283194,2021.8667198181151,530.4316421508788"
1,../data/data_raw/CARS/unsorted/CARS2144.jpg,"1574.6983508348465,287.96305847167963,2144.6557898283004,629.7872752189636"
2,../data/data_raw/CARS/unsorted/CARS1790.jpg,"1579.589261627197,308.9825817108156,2199.5129890441895,698.1764095306398"
3,../data/data_raw/CARS/unsorted/CARS1014.jpg,"23.81354713439942,330.6550369262695,501.6357078552246,587.0105056762695"
4,../data/data_raw/CARS/unsorted/CARS0516.jpg,"1564.4738013267518,279.36732969284066,2227.2567149162296,656.5360906600953"
5,../data/data_raw/CARS/unsorted/CARS1759.jpg,"56.098217010498054,384.7694396972657,531.2984142303467,708.5355758666992"
6,../data/data_raw/CARS/unsorted/CARS2292.jpg,"1508.5546659469603,256.2119618415833,1839.6283090591432,437.58932485580453"
7,../data/data_raw/CARS/unsorted/CARS1446.jpg,"1585.019053864479,320.6757777690888,2059.964221549034,623.8775325298309"
8,../data/data_raw/CARS/unsorted/CARS0722.jpg,"33.83423233032227,375.6687850952148,554.1486511230469,627.6154479980469"
9,../data/data_raw/CARS/unsorted/CARS1138.jpg,"1584.3544473409654,287.83102726936346,2034.2506366968155,546.5585287570954"
10,../data/data_raw/CARS/unsorted/CARS1668.jpg,"33.76120948791501,351.5610008239746,555.5743408203125,618.2926902770996"
11,../data/data_raw/CARS/unsorted/CARS1681.jpg,"63.51993942260739,332.19991302490234,524.150276184082,610.9726257324219"
12,../data/data_raw/CARS/unsorted/CARS1593.jpg,"55.2438793182373,360.1428527832031,532.710090637207,701.7175750732422"
13,../data/data_raw/CARS/unsorted/CARS0558.jpg,"73.3469958305359,383.9727630615234,513.2578549385071,642.4972763061523"
14,../data/data_raw/CARS/unsorted/CARS0613.jpg,"38.235115051269574,347.4925384521483,734.2476959228516,696.247505187988"
15,../data/data_raw/CARS/unsorted/CARS0720.jpg,"1571.33875541687,280.3011397361755,2274.444239902496,696.3785363197327"
16,../data/data_raw/CARS/unsorted/CARS2218.jpg,"80.3350601196289,387.48568344116205,506.9788513183594,678.4110527038573"
17,../data/data_raw/CARS/unsorted/CARS0729.jpg,"77.85819625854495,389.36915969848656,696.2929058074951,749.0431404113772"
18,../data/data_raw/CARS/unsorted/CARS0403.jpg,"1518.823473930359,296.7401347160338,2183.4297637939453,647.7965655326842"
19,../data/data_raw/CARS/unsorted/CARS1570.jpg,"30.564464569091804,356.5734558105469,499.1942615509034,644.8227005004883"
